x              tau(x)         
+2.7392e-01    +1.3708e+00   
-4.6043e-01    +1.2147e+00   
-9.1805e-01    +3.1397e-01   
-9.6694e-01    +1.3094e-01   
+6.2654e-01    +9.8475e-01   
+8.2551e-01    +5.8342e-01   
+2.1327e-01    +1.4251e+00   
+4.5899e-01    +1.2378e+00   
+8.7250e-02    +1.4235e+00   
+8.7014e-01    +4.2590e-01   
+6.3171e-01    +9.7448e-01   
-9.9452e-01    +2.2909e-02   
+7.1481e-01    +7.8749e-01   
-9.3283e-01    +2.4687e-01   
+4.5931e-01    +1.1937e+00   
-6.4869e-01    +9.4351e-01   
+7.2636e-01    +7.9930e-01   
+8.2922e-02    +1.4320e+00   
-4.0058e-01    +1.2841e+00   
-1.5463e-01    +1.4420e+00   
-9.4336e-01    +2.1198e-01   
-7.5143e-01    +7.8349e-01   
+3.4125e-01    +1.3108e+00   
+2.9438e-01    +1.3631e+00   
+2.3077e-01    +1.4091e+00   
-2.3264e-01    +1.3920e+00   
+9.9442e-01    +7.6262e-03   
+9.6167e-01    +1.3001e-01   
+3.7108e-01    +1.2918e+00   
+3.0092e-01    +1.3563e+00   
+3.7689e-01    +1.2760e+00   
-2.2216e-01    +1.3909e+00   
-7.2981e-01    +7.9976e-01   
+4.4298e-01    +1.2463e+00   
+5.0709e-02    +1.4470e+00   
-3.7952e-01    +1.3011e+00   
-2.8329e-02    +1.4314e+00   
+7.7898e-01    +6.9036e-01   
+8.6809e-01    +4.7295e-01   
-2.8441e-01    +1.3920e+00   
+1.4306e-01    +1.3995e+00   
-3.5626e-01    +1.3430e+00   
+1.8860e-01    +1.4362e+00   
-3.2418e-01    +1.3520e+00   
-2.1676e-01    +1.4028e+00   
+7.8055e-01    +6.8294e-01   
-5.4568e-01    +1.1446e+00   
+2.4637e-01    +1.4225e+00   
-8.3197e-01    +5.9495e-01   
+6.6529e-01    +9.5514e-01   
