x              tau(x)         
+2.7392e-01    +3.1098e-01   
-4.6043e-01    +2.4951e-01   
-9.1805e-01    +4.9710e-02   
-9.6694e-01    +1.8747e-02   
+6.2654e-01    +1.7776e-01   
+8.2551e-01    +9.3681e-02   
+2.1327e-01    +3.3658e-01   
+4.5899e-01    +2.6083e-01   
+8.7250e-02    +3.3487e-01   
+8.7014e-01    +5.5129e-02   
+6.3171e-01    +1.7461e-01   
-9.9452e-01    +3.3681e-03   
+7.1481e-01    +1.1992e-01   
-9.3283e-01    +3.3447e-02   
+4.5931e-01    +2.3878e-01   
-6.4869e-01    +1.6599e-01   
+7.2636e-01    +1.3233e-01   
+8.2922e-02    +3.3911e-01   
-4.0058e-01    +2.7620e-01   
-1.5463e-01    +3.4433e-01   
-9.4336e-01    +2.8847e-02   
-7.5143e-01    +1.3961e-01   
+3.4125e-01    +2.8443e-01   
+2.9438e-01    +3.0793e-01   
+2.3077e-01    +3.2890e-01   
-2.3264e-01    +3.2039e-01   
+9.9442e-01    +1.0445e-02   
+9.6167e-01    +1.1275e-02   
+3.7108e-01    +2.7723e-01   
+3.0092e-01    +3.0485e-01   
+3.7689e-01    +2.6984e-01   
-2.2216e-01    +3.1961e-01   
-7.2981e-01    +1.3457e-01   
+4.4298e-01    +2.6264e-01   
+5.0709e-02    +3.4656e-01   
-3.7952e-01    +2.8264e-01   
-2.8329e-02    +3.3876e-01   
+7.7898e-01    +1.1147e-01   
+8.6809e-01    +7.6661e-02   
-2.8441e-01    +3.2198e-01   
+1.4306e-01    +3.2299e-01   
-3.5626e-01    +3.0162e-01   
+1.8860e-01    +3.4173e-01   
-3.2418e-01    +3.0393e-01   
-2.1676e-01    +3.2547e-01   
+7.8055e-01    +1.0887e-01   
-5.4568e-01    +2.3205e-01   
+2.4637e-01    +3.3597e-01   
-8.3197e-01    +1.0489e-01   
+6.6529e-01    +1.7902e-01   
