x              forward(x)     
+1.0000e+00    +0.0000e+00   
+9.9000e-01    +5.4419e-03   
+9.8000e-01    +1.0862e-02   
+9.7000e-01    +1.6261e-02   
+9.6000e-01    +2.1637e-02   
+9.5000e-01    +2.6992e-02   
+9.4000e-01    +3.2324e-02   
+9.3000e-01    +3.7635e-02   
+9.2000e-01    +4.2922e-02   
+9.1000e-01    +4.8187e-02   
+9.0000e-01    +5.3430e-02   
+8.9000e-01    +5.8649e-02   
+8.8000e-01    +6.3844e-02   
+8.7000e-01    +6.9016e-02   
+8.6000e-01    +7.4163e-02   
+8.5000e-01    +7.9286e-02   
+8.4000e-01    +8.4384e-02   
+8.3000e-01    +8.9457e-02   
+8.2000e-01    +9.4503e-02   
+8.1000e-01    +9.9524e-02   
+8.0000e-01    +1.0452e-01   
+7.9000e-01    +1.0948e-01   
+7.8000e-01    +1.1442e-01   
+7.7000e-01    +1.1933e-01   
+7.6000e-01    +1.2421e-01   
+7.5000e-01    +1.2907e-01   
+7.4000e-01    +1.3389e-01   
+7.3000e-01    +1.3868e-01   
+7.2000e-01    +1.4344e-01   
+7.1000e-01    +1.4816e-01   
+7.0000e-01    +1.5286e-01   
+6.9000e-01    +1.5752e-01   
+6.8000e-01    +1.6214e-01   
+6.7000e-01    +1.6673e-01   
+6.6000e-01    +1.7129e-01   
+6.5000e-01    +1.7580e-01   
+6.4000e-01    +1.8028e-01   
+6.3000e-01    +1.8472e-01   
+6.2000e-01    +1.8912e-01   
+6.1000e-01    +1.9348e-01   
+6.0000e-01    +1.9780e-01   
+5.9000e-01    +2.0207e-01   
+5.8000e-01    +2.0631e-01   
+5.7000e-01    +2.1049e-01   
+5.6000e-01    +2.1464e-01   
+5.5000e-01    +2.1873e-01   
+5.4000e-01    +2.2278e-01   
+5.3000e-01    +2.2678e-01   
+5.2000e-01    +2.3073e-01   
+5.1000e-01    +2.3463e-01   
+5.0000e-01    +2.3848e-01   
+4.9000e-01    +2.4228e-01   
+4.8000e-01    +2.4602e-01   
+4.7000e-01    +2.4971e-01   
+4.6000e-01    +2.5334e-01   
+4.5000e-01    +2.5691e-01   
+4.4000e-01    +2.6043e-01   
+4.3000e-01    +2.6389e-01   
+4.2000e-01    +2.6729e-01   
+4.1000e-01    +2.7063e-01   
+4.0000e-01    +2.7390e-01   
+3.9000e-01    +2.7711e-01   
+3.8000e-01    +2.8026e-01   
+3.7000e-01    +2.8334e-01   
+3.6000e-01    +2.8636e-01   
+3.5000e-01    +2.8931e-01   
+3.4000e-01    +2.9219e-01   
+3.3000e-01    +2.9500e-01   
+3.2000e-01    +2.9775e-01   
+3.1000e-01    +3.0042e-01   
+3.0000e-01    +3.0302e-01   
+2.9000e-01    +3.0554e-01   
+2.8000e-01    +3.0800e-01   
+2.7000e-01    +3.1037e-01   
+2.6000e-01    +3.1268e-01   
+2.5000e-01    +3.1490e-01   
+2.4000e-01    +3.1705e-01   
+2.3000e-01    +3.1912e-01   
+2.2000e-01    +3.2112e-01   
+2.1000e-01    +3.2303e-01   
+2.0000e-01    +3.2486e-01   
+1.9000e-01    +3.2662e-01   
+1.8000e-01    +3.2829e-01   
+1.7000e-01    +3.2988e-01   
+1.6000e-01    +3.3138e-01   
+1.5000e-01    +3.3281e-01   
+1.4000e-01    +3.3415e-01   
+1.3000e-01    +3.3541e-01   
+1.2000e-01    +3.3658e-01   
+1.1000e-01    +3.3767e-01   
+1.0000e-01    +3.3867e-01   
+9.0000e-02    +3.3959e-01   
+8.0000e-02    +3.4042e-01   
+7.0000e-02    +3.4116e-01   
+6.0000e-02    +3.4182e-01   
+5.0000e-02    +3.4240e-01   
+4.0000e-02    +3.4288e-01   
+3.0000e-02    +3.4328e-01   
+2.0000e-02    +3.4360e-01   
+1.0000e-02    +3.4382e-01   
+0.0000e+00    +3.4396e-01   
-1.0000e-02    +3.4401e-01   
-2.0000e-02    +3.4398e-01   
-3.0000e-02    +3.4386e-01   
-4.0000e-02    +3.4365e-01   
-5.0000e-02    +3.4335e-01   
-6.0000e-02    +3.4297e-01   
-7.0000e-02    +3.4250e-01   
-8.0000e-02    +3.4195e-01   
-9.0000e-02    +3.4131e-01   
-1.0000e-01    +3.4059e-01   
-1.1000e-01    +3.3978e-01   
-1.2000e-01    +3.3888e-01   
-1.3000e-01    +3.3791e-01   
-1.4000e-01    +3.3684e-01   
-1.5000e-01    +3.3570e-01   
-1.6000e-01    +3.3447e-01   
-1.7000e-01    +3.3316e-01   
-1.8000e-01    +3.3176e-01   
-1.9000e-01    +3.3029e-01   
-2.0000e-01    +3.2873e-01   
-2.1000e-01    +3.2709e-01   
-2.2000e-01    +3.2537e-01   
-2.3000e-01    +3.2358e-01   
