x              forward(x)     
+1.0000e+00    +0.0000e+00   
+9.9000e-01    +1.6610e-02   
+9.8000e-01    +3.2978e-02   
+9.7000e-01    +4.9106e-02   
+9.6000e-01    +6.4998e-02   
+9.5000e-01    +8.0655e-02   
+9.4000e-01    +9.6080e-02   
+9.3000e-01    +1.1128e-01   
+9.2000e-01    +1.2625e-01   
+9.1000e-01    +1.4099e-01   
+9.0000e-01    +1.5551e-01   
+8.9000e-01    +1.6982e-01   
+8.8000e-01    +1.8390e-01   
+8.7000e-01    +1.9777e-01   
+8.6000e-01    +2.1143e-01   
+8.5000e-01    +2.2487e-01   
+8.4000e-01    +2.3811e-01   
+8.3000e-01    +2.5114e-01   
+8.2000e-01    +2.6397e-01   
+8.1000e-01    +2.7659e-01   
+8.0000e-01    +2.8901e-01   
+7.9000e-01    +3.0123e-01   
+7.8000e-01    +3.1326e-01   
+7.7000e-01    +3.2509e-01   
+7.6000e-01    +3.3672e-01   
+7.5000e-01    +3.4817e-01   
+7.4000e-01    +3.5942e-01   
+7.3000e-01    +3.7049e-01   
+7.2000e-01    +3.8137e-01   
+7.1000e-01    +3.9206e-01   
+7.0000e-01    +4.0257e-01   
+6.9000e-01    +4.1290e-01   
+6.8000e-01    +4.2305e-01   
+6.7000e-01    +4.3302e-01   
+6.6000e-01    +4.4281e-01   
+6.5000e-01    +4.5242e-01   
+6.4000e-01    +4.6187e-01   
+6.3000e-01    +4.7113e-01   
+6.2000e-01    +4.8023e-01   
+6.1000e-01    +4.8915e-01   
+6.0000e-01    +4.9791e-01   
+5.9000e-01    +5.0650e-01   
+5.8000e-01    +5.1492e-01   
+5.7000e-01    +5.2318e-01   
+5.6000e-01    +5.3127e-01   
+5.5000e-01    +5.3919e-01   
+5.4000e-01    +5.4696e-01   
+5.3000e-01    +5.5457e-01   
+5.2000e-01    +5.6201e-01   
+5.1000e-01    +5.6930e-01   
+5.0000e-01    +5.7642e-01   
+4.9000e-01    +5.8340e-01   
+4.8000e-01    +5.9021e-01   
+4.7000e-01    +5.9687e-01   
+4.6000e-01    +6.0338e-01   
+4.5000e-01    +6.0973e-01   
+4.4000e-01    +6.1593e-01   
+4.3000e-01    +6.2198e-01   
+4.2000e-01    +6.2788e-01   
+4.1000e-01    +6.3363e-01   
+4.0000e-01    +6.3924e-01   
+3.9000e-01    +6.4469e-01   
+3.8000e-01    +6.4999e-01   
+3.7000e-01    +6.5515e-01   
+3.6000e-01    +6.6017e-01   
+3.5000e-01    +6.6504e-01   
+3.4000e-01    +6.6976e-01   
+3.3000e-01    +6.7434e-01   
+3.2000e-01    +6.7878e-01   
+3.1000e-01    +6.8307e-01   
+3.0000e-01    +6.8722e-01   
+2.9000e-01    +6.9123e-01   
+2.8000e-01    +6.9510e-01   
+2.7000e-01    +6.9883e-01   
+2.6000e-01    +7.0242e-01   
+2.5000e-01    +7.0587e-01   
+2.4000e-01    +7.0918e-01   
+2.3000e-01    +7.1235e-01   
+2.2000e-01    +7.1538e-01   
+2.1000e-01    +7.1828e-01   
+2.0000e-01    +7.2104e-01   
+1.9000e-01    +7.2366e-01   
+1.8000e-01    +7.2615e-01   
+1.7000e-01    +7.2850e-01   
+1.6000e-01    +7.3071e-01   
+1.5000e-01    +7.3279e-01   
+1.4000e-01    +7.3473e-01   
+1.3000e-01    +7.3654e-01   
+1.2000e-01    +7.3821e-01   
+1.1000e-01    +7.3975e-01   
+1.0000e-01    +7.4115e-01   
+9.0000e-02    +7.4242e-01   
+8.0000e-02    +7.4356e-01   
+7.0000e-02    +7.4456e-01   
+6.0000e-02    +7.4542e-01   
+5.0000e-02    +7.4616e-01   
+4.0000e-02    +7.4676e-01   
+3.0000e-02    +7.4723e-01   
+2.0000e-02    +7.4756e-01   
+1.0000e-02    +7.4776e-01   
+0.0000e+00    +7.4783e-01   
-1.0000e-02    +7.4776e-01   
-2.0000e-02    +7.4756e-01   
-3.0000e-02    +7.4723e-01   
-4.0000e-02    +7.4676e-01   
-5.0000e-02    +7.4616e-01   
