x              mean(f(x))     mean(g^2(x))   
+1.0000e+00    +1.4318e+00    +2.0283e+00   
+9.9000e-01    +1.4366e+00    +2.0283e+00   
+9.8000e-01    +1.4410e+00    +2.0285e+00   
+9.7000e-01    +1.4450e+00    +2.0287e+00   
+9.6000e-01    +1.4485e+00    +2.0291e+00   
+9.5000e-01    +1.4516e+00    +2.0295e+00   
+9.4000e-01    +1.4543e+00    +2.0300e+00   
+9.3000e-01    +1.4566e+00    +2.0306e+00   
+9.2000e-01    +1.4585e+00    +2.0313e+00   
+9.1000e-01    +1.4599e+00    +2.0320e+00   
+9.0000e-01    +1.4609e+00    +2.0328e+00   
+8.9000e-01    +1.4615e+00    +2.0337e+00   
+8.8000e-01    +1.4617e+00    +2.0346e+00   
+8.7000e-01    +1.4615e+00    +2.0356e+00   
+8.6000e-01    +1.4609e+00    +2.0366e+00   
+8.5000e-01    +1.4598e+00    +2.0377e+00   
+8.4000e-01    +1.4583e+00    +2.0388e+00   
+8.3000e-01    +1.4564e+00    +2.0399e+00   
+8.2000e-01    +1.4541e+00    +2.0410e+00   
+8.1000e-01    +1.4514e+00    +2.0422e+00   
+8.0000e-01    +1.4483e+00    +2.0434e+00   
+7.9000e-01    +1.4447e+00    +2.0447e+00   
+7.8000e-01    +1.4408e+00    +2.0459e+00   
+7.7000e-01    +1.4365e+00    +2.0472e+00   
+7.6000e-01    +1.4317e+00    +2.0485e+00   
+7.5000e-01    +1.4266e+00    +2.0498e+00   
+7.4000e-01    +1.4210e+00    +2.0511e+00   
+7.3000e-01    +1.4151e+00    +2.0524e+00   
+7.2000e-01    +1.4088e+00    +2.0538e+00   
+7.1000e-01    +1.4021e+00    +2.0551e+00   
+7.0000e-01    +1.3950e+00    +2.0565e+00   
+6.9000e-01    +1.3875e+00    +2.0578e+00   
+6.8000e-01    +1.3797e+00    +2.0592e+00   
+6.7000e-01    +1.3715e+00    +2.0605e+00   
+6.6000e-01    +1.3629e+00    +2.0619e+00   
+6.5000e-01    +1.3540e+00    +2.0633e+00   
+6.4000e-01    +1.3447e+00    +2.0647e+00   
+6.3000e-01    +1.3351e+00    +2.0661e+00   
+6.2000e-01    +1.3252e+00    +2.0675e+00   
+6.1000e-01    +1.3149e+00    +2.0690e+00   
+6.0000e-01    +1.3043e+00    +2.0704e+00   
+5.9000e-01    +1.2933e+00    +2.0719e+00   
+5.8000e-01    +1.2821e+00    +2.0734e+00   
+5.7000e-01    +1.2705e+00    +2.0749e+00   
+5.6000e-01    +1.2587e+00    +2.0764e+00   
+5.5000e-01    +1.2465e+00    +2.0779e+00   
+5.4000e-01    +1.2341e+00    +2.0795e+00   
