x              var(f(x))      var(g^2(x))    
+1.0000e+00    +4.5530e-02    +1.1949e-01   
+9.9000e-01    +4.5505e-02    +1.1944e-01   
+9.8000e-01    +4.5430e-02    +1.1930e-01   
+9.7000e-01    +4.5309e-02    +1.1907e-01   
+9.6000e-01    +4.5147e-02    +1.1874e-01   
+9.5000e-01    +4.4947e-02    +1.1834e-01   
+9.4000e-01    +4.4712e-02    +1.1785e-01   
+9.3000e-01    +4.4446e-02    +1.1729e-01   
+9.2000e-01    +4.4151e-02    +1.1666e-01   
+9.1000e-01    +4.3831e-02    +1.1595e-01   
+9.0000e-01    +4.3489e-02    +1.1518e-01   
+8.9000e-01    +4.3126e-02    +1.1434e-01   
+8.8000e-01    +4.2747e-02    +1.1344e-01   
+8.7000e-01    +4.2353e-02    +1.1248e-01   
+8.6000e-01    +4.1946e-02    +1.1147e-01   
+8.5000e-01    +4.1530e-02    +1.1041e-01   
+8.4000e-01    +4.1106e-02    +1.0929e-01   
+8.3000e-01    +4.0675e-02    +1.0813e-01   
+8.2000e-01    +4.0241e-02    +1.0692e-01   
+8.1000e-01    +3.9805e-02    +1.0567e-01   
+8.0000e-01    +3.9369e-02    +1.0438e-01   
+7.9000e-01    +3.8934e-02    +1.0306e-01   
+7.8000e-01    +3.8502e-02    +1.0169e-01   
+7.7000e-01    +3.8074e-02    +1.0030e-01   
+7.6000e-01    +3.7652e-02    +9.8866e-02   
+7.5000e-01    +3.7235e-02    +9.7408e-02   
+7.4000e-01    +3.6827e-02    +9.5922e-02   
+7.3000e-01    +3.6426e-02    +9.4411e-02   
+7.2000e-01    +3.6036e-02    +9.2877e-02   
+7.1000e-01    +3.5655e-02    +9.1322e-02   
+7.0000e-01    +3.5285e-02    +8.9747e-02   
+6.9000e-01    +3.4926e-02    +8.8154e-02   
+6.8000e-01    +3.4579e-02    +8.6546e-02   
+6.7000e-01    +3.4245e-02    +8.4923e-02   
+6.6000e-01    +3.3923e-02    +8.3289e-02   
+6.5000e-01    +3.3615e-02    +8.1643e-02   
+6.4000e-01    +3.3320e-02    +7.9988e-02   
+6.3000e-01    +3.3039e-02    +7.8326e-02   
+6.2000e-01    +3.2771e-02    +7.6658e-02   
+6.1000e-01    +3.2517e-02    +7.4985e-02   
+6.0000e-01    +3.2277e-02    +7.3309e-02   
+5.9000e-01    +3.2051e-02    +7.1631e-02   
+5.8000e-01    +3.1840e-02    +6.9953e-02   
+5.7000e-01    +3.1642e-02    +6.8277e-02   
+5.6000e-01    +3.1458e-02    +6.6603e-02   
+5.5000e-01    +3.1287e-02    +6.4934e-02   
+5.4000e-01    +3.1131e-02    +6.3270e-02   
+5.3000e-01    +3.0987e-02    +6.1613e-02   
+5.2000e-01    +3.0857e-02    +5.9964e-02   
+5.1000e-01    +3.0740e-02    +5.8324e-02   
+5.0000e-01    +3.0636e-02    +5.6696e-02   
+4.9000e-01    +3.0544e-02    +5.5079e-02   
+4.8000e-01    +3.0464e-02    +5.3476e-02   
+4.7000e-01    +3.0396e-02    +5.1888e-02   
+4.6000e-01    +3.0339e-02    +5.0315e-02   
+4.5000e-01    +3.0294e-02    +4.8759e-02   
+4.4000e-01    +3.0260e-02    +4.7221e-02   
+4.3000e-01    +3.0237e-02    +4.5701e-02   
+4.2000e-01    +3.0224e-02    +4.4202e-02   
+4.1000e-01    +3.0221e-02    +4.2724e-02   
+4.0000e-01    +3.0227e-02    +4.1268e-02   
+3.9000e-01    +3.0244e-02    +3.9836e-02   
+3.8000e-01    +3.0269e-02    +3.8427e-02   
+3.7000e-01    +3.0303e-02    +3.7044e-02   
+3.6000e-01    +3.0346e-02    +3.5687e-02   
+3.5000e-01    +3.0397e-02    +3.4357e-02   
+3.4000e-01    +3.0456e-02    +3.3054e-02   
+3.3000e-01    +3.0522e-02    +3.1781e-02   
+3.2000e-01    +3.0596e-02    +3.0538e-02   
+3.1000e-01    +3.0676e-02    +2.9325e-02   
+3.0000e-01    +3.0764e-02    +2.8143e-02   
+2.9000e-01    +3.0857e-02    +2.6993e-02   
+2.8000e-01    +3.0957e-02    +2.5877e-02   
+2.7000e-01    +3.1063e-02    +2.4794e-02   
+2.6000e-01    +3.1175e-02    +2.3745e-02   
+2.5000e-01    +3.1291e-02    +2.2731e-02   
+2.4000e-01    +3.1413e-02    +2.1753e-02   
+2.3000e-01    +3.1540e-02    +2.0811e-02   
+2.2000e-01    +3.1672e-02    +1.9906e-02   
+2.1000e-01    +3.1807e-02    +1.9039e-02   
+2.0000e-01    +3.1948e-02    +1.8209e-02   
+1.9000e-01    +3.2092e-02    +1.7418e-02   
+1.8000e-01    +3.2240e-02    +1.6665e-02   
+1.7000e-01    +3.2392e-02    +1.5952e-02   
+1.6000e-01    +3.2547e-02    +1.5279e-02   
+1.5000e-01    +3.2706e-02    +1.4646e-02   
+1.4000e-01    +3.2868e-02    +1.4054e-02   
+1.3000e-01    +3.3033e-02    +1.3502e-02   
+1.2000e-01    +3.3201e-02    +1.2992e-02   
+1.1000e-01    +3.3372e-02    +1.2523e-02   
+1.0000e-01    +3.3545e-02    +1.2095e-02   
+9.0000e-02    +3.3722e-02    +1.1709e-02   
+8.0000e-02    +3.3901e-02    +1.1366e-02   
+7.0000e-02    +3.4082e-02    +1.1064e-02   
+6.0000e-02    +3.4266e-02    +1.0805e-02   
+5.0000e-02    +3.4452e-02    +1.0588e-02   
+4.0000e-02    +3.4641e-02    +1.0413e-02   
+3.0000e-02    +3.4832e-02    +1.0281e-02   
+2.0000e-02    +3.5026e-02    +1.0191e-02   
+1.0000e-02    +3.5222e-02    +1.0144e-02   
+0.0000e+00    +3.5420e-02    +1.0139e-02   
-1.0000e-02    +3.5621e-02    +1.0176e-02   
-2.0000e-02    +3.5824e-02    +1.0255e-02   
-3.0000e-02    +3.6029e-02    +1.0376e-02   
-4.0000e-02    +3.6238e-02    +1.0538e-02   
-5.0000e-02    +3.6448e-02    +1.0743e-02   
-6.0000e-02    +3.6662e-02    +1.0988e-02   
-7.0000e-02    +3.6878e-02    +1.1275e-02   
-8.0000e-02    +3.7097e-02    +1.1602e-02   
-9.0000e-02    +3.7319e-02    +1.1970e-02   
-1.0000e-01    +3.7544e-02    +1.2378e-02   
-1.1000e-01    +3.7772e-02    +1.2826e-02   
-1.2000e-01    +3.8004e-02    +1.3313e-02   
-1.3000e-01    +3.8239e-02    +1.3839e-02   
-1.4000e-01    +3.8478e-02    +1.4404e-02   
-1.5000e-01    +3.8721e-02    +1.5007e-02   
-1.6000e-01    +3.8968e-02    +1.5648e-02   
-1.7000e-01    +3.9219e-02    +1.6326e-02   
-1.8000e-01    +3.9474e-02    +1.7040e-02   
-1.9000e-01    +3.9734e-02    +1.7791e-02   
-2.0000e-01    +3.9999e-02    +1.8577e-02   
-2.1000e-01    +4.0269e-02    +1.9398e-02   
-2.2000e-01    +4.0544e-02    +2.0254e-02   
-2.3000e-01    +4.0825e-02    +2.1144e-02   
-2.4000e-01    +4.1112e-02    +2.2067e-02   
-2.5000e-01    +4.1404e-02    +2.3022e-02   
-2.6000e-01    +4.1703e-02    +2.4010e-02   
-2.7000e-01    +4.2009e-02    +2.5029e-02   
-2.8000e-01    +4.2321e-02    +2.6079e-02   
-2.9000e-01    +4.2640e-02    +2.7158e-02   
-3.0000e-01    +4.2966e-02    +2.8268e-02   
-3.1000e-01    +4.3300e-02    +2.9405e-02   
-3.2000e-01    +4.3642e-02    +3.0571e-02   
-3.3000e-01    +4.3992e-02    +3.1764e-02   
-3.4000e-01    +4.4350e-02    +3.2983e-02   
-3.5000e-01    +4.4717e-02    +3.4227e-02   
-3.6000e-01    +4.5093e-02    +3.5496e-02   
-3.7000e-01    +4.5477e-02    +3.6789e-02   
-3.8000e-01    +4.5872e-02    +3.8106e-02   
-3.9000e-01    +4.6275e-02    +3.9444e-02   
-4.0000e-01    +4.6689e-02    +4.0803e-02   
-4.1000e-01    +4.7112e-02    +4.2183e-02   
-4.2000e-01    +4.7546e-02    +4.3582e-02   
-4.3000e-01    +4.7990e-02    +4.5000e-02   
-4.4000e-01    +4.8445e-02    +4.6436e-02   
-4.5000e-01    +4.8911e-02    +4.7889e-02   
-4.6000e-01    +4.9387e-02    +4.9357e-02   
-4.7000e-01    +4.9875e-02    +5.0840e-02   
-4.8000e-01    +5.0373e-02    +5.2337e-02   
-4.9000e-01    +5.0883e-02    +5.3847e-02   
-5.0000e-01    +5.1404e-02    +5.5369e-02   
-5.1000e-01    +5.1936e-02    +5.6902e-02   
-5.2000e-01    +5.2480e-02    +5.8444e-02   
-5.3000e-01    +5.3034e-02    +5.9995e-02   
-5.4000e-01    +5.3600e-02    +6.1553e-02   
-5.5000e-01    +5.4177e-02    +6.3118e-02   
-5.6000e-01    +5.4765e-02    +6.4688e-02   
-5.7000e-01    +5.5365e-02    +6.6262e-02   
-5.8000e-01    +5.5974e-02    +6.7839e-02   
-5.9000e-01    +5.6595e-02    +6.9417e-02   
-6.0000e-01    +5.7225e-02    +7.0996e-02   
-6.1000e-01    +5.7866e-02    +7.2574e-02   
-6.2000e-01    +5.8516e-02    +7.4149e-02   
-6.3000e-01    +5.9175e-02    +7.5721e-02   
-6.4000e-01    +5.9843e-02    +7.7288e-02   
-6.5000e-01    +6.0518e-02    +7.8849e-02   
-6.6000e-01    +6.1202e-02    +8.0402e-02   
