x              var(f(x))      var(g^2(x))    
+1.0000e+00    +5.9468e-01    +5.9468e-01   
+9.9000e-01    +5.9464e-01    +5.9464e-01   
+9.8000e-01    +5.9451e-01    +5.9451e-01   
+9.7000e-01    +5.9430e-01    +5.9430e-01   
+9.6000e-01    +5.9401e-01    +5.9401e-01   
+9.5000e-01    +5.9365e-01    +5.9365e-01   
+9.4000e-01    +5.9322e-01    +5.9322e-01   
+9.3000e-01    +5.9273e-01    +5.9273e-01   
+9.2000e-01    +5.9217e-01    +5.9217e-01   
+9.1000e-01    +5.9155e-01    +5.9155e-01   
+9.0000e-01    +5.9087e-01    +5.9087e-01   
+8.9000e-01    +5.9014e-01    +5.9014e-01   
+8.8000e-01    +5.8936e-01    +5.8936e-01   
+8.7000e-01    +5.8853e-01    +5.8853e-01   
+8.6000e-01    +5.8766e-01    +5.8766e-01   
+8.5000e-01    +5.8674e-01    +5.8674e-01   
+8.4000e-01    +5.8578e-01    +5.8578e-01   
+8.3000e-01    +5.8479e-01    +5.8479e-01   
+8.2000e-01    +5.8376e-01    +5.8376e-01   
+8.1000e-01    +5.8269e-01    +5.8269e-01   
+8.0000e-01    +5.8160e-01    +5.8160e-01   
+7.9000e-01    +5.8047e-01    +5.8047e-01   
+7.8000e-01    +5.7933e-01    +5.7933e-01   
+7.7000e-01    +5.7815e-01    +5.7815e-01   
+7.6000e-01    +5.7696e-01    +5.7696e-01   
+7.5000e-01    +5.7574e-01    +5.7574e-01   
+7.4000e-01    +5.7451e-01    +5.7451e-01   
+7.3000e-01    +5.7326e-01    +5.7326e-01   
+7.2000e-01    +5.7199e-01    +5.7199e-01   
+7.1000e-01    +5.7071e-01    +5.7071e-01   
+7.0000e-01    +5.6942e-01    +5.6942e-01   
+6.9000e-01    +5.6812e-01    +5.6812e-01   
+6.8000e-01    +5.6681e-01    +5.6681e-01   
+6.7000e-01    +5.6550e-01    +5.6550e-01   
+6.6000e-01    +5.6418e-01    +5.6418e-01   
+6.5000e-01    +5.6285e-01    +5.6285e-01   
+6.4000e-01    +5.6153e-01    +5.6153e-01   
+6.3000e-01    +5.6020e-01    +5.6020e-01   
+6.2000e-01    +5.5887e-01    +5.5887e-01   
+6.1000e-01    +5.5755e-01    +5.5755e-01   
+6.0000e-01    +5.5622e-01    +5.5622e-01   
+5.9000e-01    +5.5490e-01    +5.5490e-01   
+5.8000e-01    +5.5359e-01    +5.5359e-01   
+5.7000e-01    +5.5228e-01    +5.5228e-01   
+5.6000e-01    +5.5098e-01    +5.5098e-01   
+5.5000e-01    +5.4968e-01    +5.4968e-01   
+5.4000e-01    +5.4840e-01    +5.4840e-01   
+5.3000e-01    +5.4712e-01    +5.4712e-01   
+5.2000e-01    +5.4586e-01    +5.4586e-01   
+5.1000e-01    +5.4461e-01    +5.4461e-01   
+5.0000e-01    +5.4337e-01    +5.4337e-01   
+4.9000e-01    +5.4214e-01    +5.4214e-01   
+4.8000e-01    +5.4093e-01    +5.4093e-01   
+4.7000e-01    +5.3973e-01    +5.3973e-01   
+4.6000e-01    +5.3854e-01    +5.3854e-01   
+4.5000e-01    +5.3738e-01    +5.3738e-01   
+4.4000e-01    +5.3623e-01    +5.3623e-01   
+4.3000e-01    +5.3510e-01    +5.3510e-01   
+4.2000e-01    +5.3398e-01    +5.3398e-01   
+4.1000e-01    +5.3289e-01    +5.3289e-01   
+4.0000e-01    +5.3181e-01    +5.3181e-01   
+3.9000e-01    +5.3076e-01    +5.3076e-01   
+3.8000e-01    +5.2973e-01    +5.2973e-01   
+3.7000e-01    +5.2871e-01    +5.2871e-01   
+3.6000e-01    +5.2772e-01    +5.2772e-01   
+3.5000e-01    +5.2675e-01    +5.2675e-01   
+3.4000e-01    +5.2580e-01    +5.2580e-01   
+3.3000e-01    +5.2488e-01    +5.2488e-01   
+3.2000e-01    +5.2398e-01    +5.2398e-01   
+3.1000e-01    +5.2310e-01    +5.2310e-01   
+3.0000e-01    +5.2225e-01    +5.2225e-01   
+2.9000e-01    +5.2142e-01    +5.2142e-01   
+2.8000e-01    +5.2062e-01    +5.2062e-01   
+2.7000e-01    +5.1984e-01    +5.1984e-01   
+2.6000e-01    +5.1909e-01    +5.1909e-01   
+2.5000e-01    +5.1836e-01    +5.1836e-01   
+2.4000e-01    +5.1766e-01    +5.1766e-01   
+2.3000e-01    +5.1699e-01    +5.1699e-01   
+2.2000e-01    +5.1634e-01    +5.1634e-01   
+2.1000e-01    +5.1572e-01    +5.1572e-01   
+2.0000e-01    +5.1513e-01    +5.1513e-01   
+1.9000e-01    +5.1457e-01    +5.1457e-01   
+1.8000e-01    +5.1403e-01    +5.1403e-01   
+1.7000e-01    +5.1352e-01    +5.1352e-01   
+1.6000e-01    +5.1304e-01    +5.1304e-01   
+1.5000e-01    +5.1259e-01    +5.1259e-01   
+1.4000e-01    +5.1216e-01    +5.1216e-01   
+1.3000e-01    +5.1177e-01    +5.1177e-01   
+1.2000e-01    +5.1140e-01    +5.1140e-01   
+1.1000e-01    +5.1106e-01    +5.1106e-01   
+1.0000e-01    +5.1075e-01    +5.1075e-01   
+9.0000e-02    +5.1047e-01    +5.1047e-01   
+8.0000e-02    +5.1022e-01    +5.1022e-01   
+7.0000e-02    +5.1000e-01    +5.1000e-01   
+6.0000e-02    +5.0981e-01    +5.0981e-01   
+5.0000e-02    +5.0964e-01    +5.0964e-01   
+4.0000e-02    +5.0951e-01    +5.0951e-01   
+3.0000e-02    +5.0941e-01    +5.0941e-01   
+2.0000e-02    +5.0933e-01    +5.0933e-01   
+1.0000e-02    +5.0929e-01    +5.0929e-01   
+0.0000e+00    +5.0927e-01    +5.0927e-01   
-1.0000e-02    +5.0929e-01    +5.0929e-01   
-2.0000e-02    +5.0933e-01    +5.0933e-01   
-3.0000e-02    +5.0941e-01    +5.0941e-01   
-4.0000e-02    +5.0951e-01    +5.0951e-01   
-5.0000e-02    +5.0964e-01    +5.0964e-01   
-6.0000e-02    +5.0981e-01    +5.0981e-01   
-7.0000e-02    +5.1000e-01    +5.1000e-01   
-8.0000e-02    +5.1022e-01    +5.1022e-01   
-9.0000e-02    +5.1047e-01    +5.1047e-01   
-1.0000e-01    +5.1075e-01    +5.1075e-01   
-1.1000e-01    +5.1106e-01    +5.1106e-01   
-1.2000e-01    +5.1140e-01    +5.1140e-01   
-1.3000e-01    +5.1177e-01    +5.1177e-01   
-1.4000e-01    +5.1216e-01    +5.1216e-01   
-1.5000e-01    +5.1259e-01    +5.1259e-01   
-1.6000e-01    +5.1304e-01    +5.1304e-01   
-1.7000e-01    +5.1352e-01    +5.1352e-01   
-1.8000e-01    +5.1403e-01    +5.1403e-01   
-1.9000e-01    +5.1457e-01    +5.1457e-01   
-2.0000e-01    +5.1513e-01    +5.1513e-01   
