x              forward(x)     
+1.0000e+00    +0.0000e+00   
+9.9000e-01    +5.6571e-03   
+9.8000e-01    +1.1284e-02   
+9.7000e-01    +1.6882e-02   
+9.6000e-01    +2.2449e-02   
+9.5000e-01    +2.7986e-02   
+9.4000e-01    +3.3493e-02   
+9.3000e-01    +3.8969e-02   
+9.2000e-01    +4.4415e-02   
+9.1000e-01    +4.9830e-02   
+9.0000e-01    +5.5214e-02   
+8.9000e-01    +6.0567e-02   
+8.8000e-01    +6.5889e-02   
+8.7000e-01    +7.1179e-02   
+8.6000e-01    +7.6437e-02   
+8.5000e-01    +8.1662e-02   
+8.4000e-01    +8.6856e-02   
+8.3000e-01    +9.2016e-02   
+8.2000e-01    +9.7143e-02   
+8.1000e-01    +1.0224e-01   
+8.0000e-01    +1.0730e-01   
+7.9000e-01    +1.1232e-01   
+7.8000e-01    +1.1731e-01   
+7.7000e-01    +1.2226e-01   
+7.6000e-01    +1.2718e-01   
+7.5000e-01    +1.3207e-01   
+7.4000e-01    +1.3691e-01   
+7.3000e-01    +1.4172e-01   
+7.2000e-01    +1.4649e-01   
+7.1000e-01    +1.5122e-01   
+7.0000e-01    +1.5591e-01   
+6.9000e-01    +1.6056e-01   
+6.8000e-01    +1.6517e-01   
+6.7000e-01    +1.6974e-01   
+6.6000e-01    +1.7427e-01   
+6.5000e-01    +1.7876e-01   
+6.4000e-01    +1.8320e-01   
+6.3000e-01    +1.8760e-01   
+6.2000e-01    +1.9195e-01   
+6.1000e-01    +1.9626e-01   
+6.0000e-01    +2.0052e-01   
+5.9000e-01    +2.0473e-01   
+5.8000e-01    +2.0890e-01   
+5.7000e-01    +2.1302e-01   
+5.6000e-01    +2.1709e-01   
+5.5000e-01    +2.2110e-01   
+5.4000e-01    +2.2507e-01   
+5.3000e-01    +2.2899e-01   
+5.2000e-01    +2.3285e-01   
+5.1000e-01    +2.3666e-01   
+5.0000e-01    +2.4041e-01   
+4.9000e-01    +2.4411e-01   
