x              mean(f(x))     mean(g^2(x))   
+1.0000e+00    +1.0995e+00    +2.5257e+00   
+9.9000e-01    +1.1041e+00    +2.5254e+00   
+9.8000e-01    +1.1082e+00    +2.5248e+00   
+9.7000e-01    +1.1121e+00    +2.5242e+00   
+9.6000e-01    +1.1158e+00    +2.5237e+00   
+9.5000e-01    +1.1191e+00    +2.5231e+00   
+9.4000e-01    +1.1222e+00    +2.5224e+00   
+9.3000e-01    +1.1251e+00    +2.5217e+00   
+9.2000e-01    +1.1279e+00    +2.5206e+00   
+9.1000e-01    +1.1304e+00    +2.5195e+00   
+9.0000e-01    +1.1324e+00    +2.5184e+00   
+8.9000e-01    +1.1337e+00    +2.5173e+00   
+8.8000e-01    +1.1345e+00    +2.5162e+00   
+8.7000e-01    +1.1347e+00    +2.5152e+00   
+8.6000e-01    +1.1347e+00    +2.5145e+00   
+8.5000e-01    +1.1342e+00    +2.5138e+00   
+8.4000e-01    +1.1333e+00    +2.5127e+00   
+8.3000e-01    +1.1321e+00    +2.5113e+00   
+8.2000e-01    +1.1303e+00    +2.5098e+00   
+8.1000e-01    +1.1281e+00    +2.5083e+00   
+8.0000e-01    +1.1255e+00    +2.5069e+00   
+7.9000e-01    +1.1225e+00    +2.5052e+00   
+7.8000e-01    +1.1193e+00    +2.5034e+00   
+7.7000e-01    +1.1155e+00    +2.5017e+00   
+7.6000e-01    +1.1111e+00    +2.5002e+00   
+7.5000e-01    +1.1061e+00    +2.4988e+00   
+7.4000e-01    +1.1010e+00    +2.4973e+00   
+7.3000e-01    +1.0955e+00    +2.4956e+00   
+7.2000e-01    +1.0897e+00    +2.4938e+00   
+7.1000e-01    +1.0835e+00    +2.4921e+00   
+7.0000e-01    +1.0770e+00    +2.4902e+00   
+6.9000e-01    +1.0701e+00    +2.4881e+00   
+6.8000e-01    +1.0628e+00    +2.4860e+00   
+6.7000e-01    +1.0551e+00    +2.4836e+00   
+6.6000e-01    +1.0472e+00    +2.4811e+00   
+6.5000e-01    +1.0391e+00    +2.4783e+00   
+6.4000e-01    +1.0305e+00    +2.4754e+00   
+6.3000e-01    +1.0213e+00    +2.4726e+00   
+6.2000e-01    +1.0116e+00    +2.4696e+00   
+6.1000e-01    +1.0018e+00    +2.4666e+00   
+6.0000e-01    +9.9151e-01    +2.4639e+00   
+5.9000e-01    +9.8125e-01    +2.4616e+00   
+5.8000e-01    +9.7049e-01    +2.4594e+00   
+5.7000e-01    +9.5928e-01    +2.4572e+00   
+5.6000e-01    +9.4771e-01    +2.4552e+00   
+5.5000e-01    +9.3577e-01    +2.4534e+00   
+5.4000e-01    +9.2340e-01    +2.4519e+00   
+5.3000e-01    +9.1064e-01    +2.4505e+00   
+5.2000e-01    +8.9763e-01    +2.4493e+00   
+5.1000e-01    +8.8452e-01    +2.4481e+00   
+5.0000e-01    +8.7127e-01    +2.4468e+00   
+4.9000e-01    +8.5783e-01    +2.4453e+00   
+4.8000e-01    +8.4396e-01    +2.4439e+00   
+4.7000e-01    +8.2978e-01    +2.4424e+00   
+4.6000e-01    +8.1538e-01    +2.4409e+00   
+4.5000e-01    +8.0081e-01    +2.4394e+00   
+4.4000e-01    +7.8627e-01    +2.4379e+00   
+4.3000e-01    +7.7138e-01    +2.4363e+00   
+4.2000e-01    +7.5640e-01    +2.4346e+00   
+4.1000e-01    +7.4132e-01    +2.4326e+00   
+4.0000e-01    +7.2597e-01    +2.4302e+00   
+3.9000e-01    +7.1066e-01    +2.4279e+00   
+3.8000e-01    +6.9541e-01    +2.4256e+00   
+3.7000e-01    +6.8015e-01    +2.4234e+00   
+3.6000e-01    +6.6468e-01    +2.4213e+00   
+3.5000e-01    +6.4920e-01    +2.4194e+00   
+3.4000e-01    +6.3355e-01    +2.4177e+00   
+3.3000e-01    +6.1778e-01    +2.4161e+00   
+3.2000e-01    +6.0193e-01    +2.4143e+00   
+3.1000e-01    +5.8576e-01    +2.4125e+00   
+3.0000e-01    +5.6962e-01    +2.4107e+00   
+2.9000e-01    +5.5362e-01    +2.4092e+00   
+2.8000e-01    +5.3796e-01    +2.4079e+00   
+2.7000e-01    +5.2263e-01    +2.4067e+00   
+2.6000e-01    +5.0756e-01    +2.4054e+00   
+2.5000e-01    +4.9275e-01    +2.4042e+00   
+2.4000e-01    +4.7787e-01    +2.4030e+00   
+2.3000e-01    +4.6291e-01    +2.4019e+00   
