x              var(f(x))      var(g^2(x))    
+1.0000e+00    +6.6115e-02    +1.5069e-01   
+9.9000e-01    +6.6072e-02    +1.5075e-01   
+9.8000e-01    +6.5909e-02    +1.5079e-01   
+9.7000e-01    +6.5600e-02    +1.5061e-01   
+9.6000e-01    +6.5220e-02    +1.5020e-01   
+9.5000e-01    +6.4780e-02    +1.4973e-01   
+9.4000e-01    +6.4376e-02    +1.4909e-01   
+9.3000e-01    +6.3871e-02    +1.4848e-01   
+9.2000e-01    +6.3336e-02    +1.4794e-01   
+9.1000e-01    +6.2801e-02    +1.4731e-01   
+9.0000e-01    +6.2276e-02    +1.4656e-01   
+8.9000e-01    +6.1696e-02    +1.4588e-01   
+8.8000e-01    +6.1084e-02    +1.4518e-01   
+8.7000e-01    +6.0397e-02    +1.4429e-01   
+8.6000e-01    +5.9680e-02    +1.4325e-01   
+8.5000e-01    +5.8937e-02    +1.4218e-01   
+8.4000e-01    +5.8288e-02    +1.4091e-01   
+8.3000e-01    +5.7596e-02    +1.3950e-01   
+8.2000e-01    +5.6840e-02    +1.3793e-01   
+8.1000e-01    +5.6038e-02    +1.3629e-01   
+8.0000e-01    +5.5199e-02    +1.3450e-01   
+7.9000e-01    +5.4308e-02    +1.3258e-01   
+7.8000e-01    +5.3461e-02    +1.3053e-01   
+7.7000e-01    +5.2666e-02    +1.2836e-01   
+7.6000e-01    +5.1914e-02    +1.2626e-01   
+7.5000e-01    +5.1040e-02    +1.2400e-01   
+7.4000e-01    +5.0146e-02    +1.2163e-01   
+7.3000e-01    +4.9299e-02    +1.1911e-01   
+7.2000e-01    +4.8523e-02    +1.1643e-01   
+7.1000e-01    +4.7790e-02    +1.1369e-01   
+7.0000e-01    +4.7080e-02    +1.1094e-01   
+6.9000e-01    +4.6454e-02    +1.0815e-01   
+6.8000e-01    +4.5835e-02    +1.0540e-01   
+6.7000e-01    +4.5282e-02    +1.0274e-01   
+6.6000e-01    +4.4743e-02    +1.0018e-01   
+6.5000e-01    +4.4198e-02    +9.7614e-02   
+6.4000e-01    +4.3682e-02    +9.5000e-02   
+6.3000e-01    +4.3192e-02    +9.2402e-02   
+6.2000e-01    +4.2869e-02    +8.9645e-02   
+6.1000e-01    +4.2558e-02    +8.6851e-02   
+6.0000e-01    +4.2274e-02    +8.4227e-02   
+5.9000e-01    +4.1988e-02    +8.1709e-02   
+5.8000e-01    +4.1764e-02    +7.9323e-02   
+5.7000e-01    +4.1593e-02    +7.7052e-02   
+5.6000e-01    +4.1360e-02    +7.4750e-02   
+5.5000e-01    +4.1175e-02    +7.2365e-02   
+5.4000e-01    +4.0999e-02    +7.0123e-02   
+5.3000e-01    +4.0882e-02    +6.8052e-02   
+5.2000e-01    +4.0771e-02    +6.6088e-02   
+5.1000e-01    +4.0631e-02    +6.4137e-02   
+5.0000e-01    +4.0464e-02    +6.2207e-02   
+4.9000e-01    +4.0288e-02    +6.0150e-02   
+4.8000e-01    +4.0037e-02    +5.8130e-02   
+4.7000e-01    +3.9786e-02    +5.6130e-02   
+4.6000e-01    +3.9523e-02    +5.4198e-02   
+4.5000e-01    +3.9338e-02    +5.2313e-02   
+4.4000e-01    +3.9100e-02    +5.0470e-02   
+4.3000e-01    +3.8975e-02    +4.8612e-02   
+4.2000e-01    +3.8902e-02    +4.6733e-02   
+4.1000e-01    +3.8873e-02    +4.4921e-02   
+4.0000e-01    +3.8871e-02    +4.3222e-02   
+3.9000e-01    +3.8830e-02    +4.1525e-02   
+3.8000e-01    +3.8837e-02    +3.9849e-02   
+3.7000e-01    +3.8881e-02    +3.8116e-02   
+3.6000e-01    +3.9045e-02    +3.6377e-02   
+3.5000e-01    +3.9268e-02    +3.4719e-02   
+3.4000e-01    +3.9456e-02    +3.3122e-02   
+3.3000e-01    +3.9524e-02    +3.1635e-02   
+3.2000e-01    +3.9576e-02    +3.0217e-02   
+3.1000e-01    +3.9641e-02    +2.8894e-02   
+3.0000e-01    +3.9787e-02    +2.7635e-02   
+2.9000e-01    +3.9958e-02    +2.6439e-02   
+2.8000e-01    +4.0105e-02    +2.5351e-02   
+2.7000e-01    +4.0274e-02    +2.4311e-02   
+2.6000e-01    +4.0430e-02    +2.3262e-02   
+2.5000e-01    +4.0584e-02    +2.2207e-02   
+2.4000e-01    +4.0771e-02    +2.1206e-02   
+2.3000e-01    +4.1017e-02    +2.0328e-02   
+2.2000e-01    +4.1308e-02    +1.9527e-02   
+2.1000e-01    +4.1564e-02    +1.8778e-02   
+2.0000e-01    +4.1893e-02    +1.8030e-02   
+1.9000e-01    +4.2169e-02    +1.7349e-02   
+1.8000e-01    +4.2463e-02    +1.6715e-02   
+1.7000e-01    +4.2775e-02    +1.6081e-02   
+1.6000e-01    +4.3126e-02    +1.5459e-02   
+1.5000e-01    +4.3429e-02    +1.4870e-02   
+1.4000e-01    +4.3744e-02    +1.4272e-02   
+1.3000e-01    +4.4012e-02    +1.3722e-02   
+1.2000e-01    +4.4284e-02    +1.3222e-02   
+1.1000e-01    +4.4564e-02    +1.2790e-02   
+1.0000e-01    +4.4952e-02    +1.2399e-02   
+9.0000e-02    +4.5391e-02    +1.2133e-02   
+8.0000e-02    +4.5872e-02    +1.1908e-02   
+7.0000e-02    +4.6320e-02    +1.1775e-02   
+6.0000e-02    +4.6739e-02    +1.1728e-02   
+5.0000e-02    +4.7111e-02    +1.1743e-02   
+4.0000e-02    +4.7487e-02    +1.1824e-02   
+3.0000e-02    +4.7929e-02    +1.1971e-02   
+2.0000e-02    +4.8343e-02    +1.2177e-02   
